,timestamp,hashtags,tweets,replies,retweets,likes,username,location,friends,followers,verified,all_hashtags,all_hashtags_seg,tweets_prep,tweets_clean,label
454,2020-09-27 08:39:05,conflict,"#Prezident: ""Biz zəfər çalacağıq. Qarabağ bizimdir. Qarabağ Azərbaycandır!""
 
Allah ordumuzu müzəffər eləsin!

#Qarabağ #Karabakh #NKPeace #Azerbaijan #Azərbaycan #Armenia #peace #conflict",15.0,57.0,355.0,YalchinRafiyev,Azerbaijan,886,"2,565",0,Prezident Qarabağ Karabakh NKPeace Azerbaijan Azərbaycan Armenia peace conflict,prezident q arab a karabakh nk peace azerbaijan az rbay can armenia peace conflict,": ""Biz zəfər çalacağıq. Qarabağ bizimdir. Qarabağ Azərbaycandır!"" Allah ordumuzu müzəffər eləsin!       ", Biz zəfər çalacağıq Qarabağ bizimdir Qarabağ Azərbaycandır Allah ordumuzu müzəffər eləsin       ,Azerbaijan_Armenia
456,2020-09-27 08:20:35,conflict,#Armenia’n mass media confess that Armed Forces of #Azerbaijan is undertaking counter-offensive measures against #aggression of Armenia. #war #conflict #NKPeace #UN #UNGA #UNGA75,2.0,33.0,86.0,YalchinRafiyev,Azerbaijan,886,"2,565",0,Armenia Azerbaijan aggression war conflict NKPeace UN UNGA UNGA75,armenia azerbaijan aggression war conflict nkpeaceunungaunga75,’n mass media confess that Armed Forces of  is undertaking counter-offensive measures against  of Armenia.      ,’n mass media confess that Armed Forces of  is undertaking counteroffensive measures against  of Armenia      ,Azerbaijan_Armenia
458,2020-09-27 07:31:03,conflict,"#BREAKING
#ARMENIA #AZERBAIJAN #CONFLICT 

Martial law announced in breakaway republic of Nagorno-Karabakh. All men over 18 years old ""need to gather"": President of Karabakh (Artsakh) Arayik Harutyunyan",1.0,2.0,4.0,Xy5Z89,"Deutschland, EU",520,"1,516",0,BREAKING ARMENIA AZERBAIJAN CONFLICT,breaking armenia azerbaijan conflict,"   Martial law announced in breakaway republic of Nagorno-Karabakh. All men over  years old ""need to gather"": President of Karabakh (Artsakh) Arayik Harutyunyan",   Martial law announced in breakaway republic of NagornoKarabakh All men over  years old need to gather President of Karabakh Artsakh Arayik Harutyunyan,Azerbaijan_Armenia
459,2020-09-27 07:30:45,conflict,We stay strong next to our army to protect our motherland and liberate our lands from the #Armenia’n aggression #FreeKarabakh #Karabakh. #KarabakhisAzerbaijan #KarabaghisAzerbaijan #StopArmenianaggresion #Azerbaijan #NagornoKarabakh #conflict,,1.0,3.0,medinavie1,,61,49,0,Armenia FreeKarabakh Karabakh KarabakhisAzerbaijan KarabaghisAzerbaijan StopArmenianaggresion Azerbaijan NagornoKarabakh conflict,armenia free karabakh karabakh karabakh is azerbaijan karabagh is azerbaijan stop armenian aggres ion azerbaijan nagorno karabakh conflict,We stay strong next to our army to protect our motherland and liberate our lands from the ’n aggression  .      ,We stay strong next to our army to protect our motherland and liberate our lands from the ’n aggression        ,Azerbaijan_Armenia
460,2020-09-27 07:09:49,conflict,"A woman and a child killed near Martuni. #Armenia MOD says data from other settlements is being verified. 
 #Azerbaijan #conflict",,2.0,,GhazaryanKarine,,165,550,0,Armenia Azerbaijan conflict,armenia azerbaijan conflict,A woman and a child killed near Martuni.  MOD says data from other settlements is being verified.   ,A woman and a child killed near Martuni  MOD says data from other settlements is being verified   ,Azerbaijan_Armenia
461,2020-09-27 06:40:33,conflict,"Clashes have erupted between former Soviet countries of Azerbaijan ; Armenia over disputed Nagorno-Karabakh region. 

#NagornoKarabakh #conflict #SovietUnion #USSR",,,1.0,AnnuKaushik253,"New Delhi, India",133,519,0,NagornoKarabakh conflict SovietUnion USSR,nagorno karabakh conflict soviet union ussr,Clashes have erupted between former Soviet countries of Azerbaijan ; Armenia over disputed Nagorno-Karabakh region.    ,Clashes have erupted between former Soviet countries of Azerbaijan  Armenia over disputed NagornoKarabakh region    ,Azerbaijan_Armenia
462,2020-09-27 06:34:54,conflict,"#News: First claims arising that clashes broke out between #Armenia and #Azerbaijan. All of this happening allegedly in the #Artsakh province to be specific.

#War #Crisis #Caucasus #Conflict #Karabakh #WW3",1.0,,1.0,research_east,,41,697,0,News Armenia Azerbaijan Artsakh War Crisis Caucasus Conflict Karabakh WW3,news armenia azerbaijan artsakh war crisis caucasus conflict karabakh ww3,: First claims arising that clashes broke out between  and . All of this happening allegedly in the  province to be specific.     , First claims arising that clashes broke out between  and  All of this happening allegedly in the  province to be specific     ,Azerbaijan_Armenia
464,2020-09-27 04:14:52,conflict,https://apnews.com/article/virus-outbreak-turkey-united-nations-bashar-assad-islamic-state-group-54bb352f4ffcf31535c7f268f1d44f49… via @AP #Turkey #Syria #News #Conflict,,,,NvrKnew1,,"1,019",306,0,Turkey Syria News Conflict,turkey syria news conflict,… via     ,… via     ,Turkey
470,2020-09-28 23:20:52,conflict,"China says US 'abusing power' by squeezing TikTok
 ##China #abusingpower #ban #conflict #downloads #government #order #TikTok #TrumpAdministration #US https://siliconeer.com/current/china-says-us-abusing-power-by-squeezing-tiktok/…",,,,Siliconeer,"California, USA",64,164,0,China abusingpower ban conflict downloads government order TikTok TrumpAdministration US,china abusing power ban conflict downloads government order tik tok trump administration us,China says US 'abusing power' by squeezing TikTok #          …,China says US abusing power by squeezing TikTok           …,USA
475,2020-09-28 21:55:51,conflict,"#international #journalist #conflict 
#AzerbaijanAgression",,,,SoseBazik,"Los Angeles, CA",165,109,0,international journalist conflict AzerbaijanAgression,international journalist conflict azerbaijan agression,   ,   ,Azerbaijan_Armenia
476,2020-09-28 21:37:55,conflict,Kimthe bestthanks for your solicitude and for your actions resolving #conflict between #Armenia and #Azerbaijan.,,1.0,1.0,araqsdavtyan97,Armenia,38,32,0,conflict Armenia Azerbaijan,conflict armenia azerbaijan,Kimthe bestthanks for your solicitude and for your actions resolving  between  and .,Kimthe bestthanks for your solicitude and for your actions resolving  between  and ,Azerbaijan_Armenia
479,2020-09-28 21:20:44,conflict,"Refugees already have limited resources for food and medical care. COVID 19 has made it even more difficult causing a disruption in supplies.   voa news #AlkhayyatFoundation  #Charity #Change #Poverty #Nonprofit #Humanity #Inspire #Refugee #Covid19 #Conflict
#Philanthropy",,,,AlkhayyatFdn,Canada & USA,"1,341","1,388",0,AlkhayyatFoundation Charity Change Poverty Nonprofit Humanity Inspire Refugee Covid19 Conflict Philanthropy,alk hay y at foundation charity change poverty nonprofit humanity inspire refugee covid19 conflict philanthropy,Refugees already have limited resources for food and medical care. COVID  has made it even more difficult causing a disruption in supplies.   voa news           ,Refugees already have limited resources for food and medical care COVID  has made it even more difficult causing a disruption in supplies   voa news           ,covid
483,2020-09-28 21:09:35,conflict,"More and better info.

#Armenia #Azerbaijan #NagornoKarabakh #Turkey #Russia
#Syria #Iran #clash #conflict #attack 
#drone #Artillery #Warzone #Tanks
#helicopters #Aircraft",1.0,,,CASELS2020,Hopefully Everywhere at Once,165,7,0,Armenia Azerbaijan NagornoKarabakh Turkey Russia Syria Iran clash conflict attack drone Artillery Warzone Tanks helicopters Aircraft,armenia azerbaijan nagorno karabakh turkey russia syria iran clash conflict attack drone artillery warzone tanks helicopters aircraft,More and better info.             ,More and better info             ,Azerbaijan_Armenia
484,2020-09-28 20:43:55,conflict,"Armenia—Azerbaijan #Conflict :

All position taken by #Azerbaijan have been retaken by Armenian troops.
Fighting now is focused on the north-east, expects the issue there to end by morning.
#Armenia threatens to use #Iskander missile systems if #Turkey sends F-16 fighters.",,,1.0,ajayeswarapu,"Vishakhapatnam, India",99,92,0,Conflict Azerbaijan Armenia Iskander Turkey,conflict azerbaijan armenia iskander turkey,"Armenia—Azerbaijan  :All position taken by  have been retaken by Armenian troops.Fighting now is focused on the north-east, expects the issue there to end by morning. threatens to use  missile systems if  sends F- fighters.",Armenia—Azerbaijan  All position taken by  have been retaken by Armenian troopsFighting now is focused on the northeast expects the issue there to end by morning threatens to use  missile systems if  sends F fighters,Azerbaijan_Armenia
486,2020-09-28 19:55:50,conflict,#German #Chancellor stressed that there is no alternative to a #peaceful settlement of the #NagornoKarabakh #conflict.,,1.0,,LAfrikian,Armenia,878,146,0,German Chancellor peaceful NagornoKarabakh conflict,german chancellor peaceful nagorno karabakh conflict,  stressed that there is no alternative to a  settlement of the  .,  stressed that there is no alternative to a  settlement of the  ,Azerbaijan_Armenia
490,2020-09-28 19:30:22,conflict,"I invite you to read our latest and share your own experiences with managing conflict in stressful times in the article's comments section: https://bit.ly/2ZPJ0lM

#conflict #conflicts #conflictmanagement #stress #stressed #stressrelief #covid19 #coronavirus #pandemic",,,,imassoc,"Tempe, AZ, USA","4,116","4,141",0,conflict conflicts conflictmanagement stress stressed stressrelief covid19 coronavirus pandemic,conflict conflicts conflict management stress stressed stress relief covid19 coronavirus pandemic,I invite you to read our latest and share your own experiences with managing conflict in stressful times in the article's comments section:         ,I invite you to read our latest and share your own experiences with managing conflict in stressful times in the articles comments section         ,covid
492,2020-09-28 19:21:27,conflict,"RT CRSnews "".@CatholicRelief warns of triple-threat for humanitarian efforts in the #DRCongo — #COVID19, #Ebola, and #conflict. https://bit.ly/3kVZkJT via @crux""",,,,RobertoDNavarro,"San Antonio, TX",466,420,0,DRCongo COVID19 Ebola conflict,drcongocovid19ebola conflict,"RT CRSnews "". warns of triple-threat for humanitarian efforts in the  — , , and .  via """,RT CRSnews  warns of triplethreat for humanitarian efforts in the  —   and   via ,covid
493,2020-09-28 19:21:01,conflict,".@CatholicRelief warns of triple-threat for humanitarian efforts in the #DRCongo — #COVID19, #Ebola, and #conflict. https://bit.ly/3kVZkJT via @crux",,1.0,2.0,CRSnews,Baltimore,"2,120",22.2K,0,DRCongo COVID19 Ebola conflict,drcongocovid19ebola conflict,". warns of triple-threat for humanitarian efforts in the  — , , and .  via ", warns of triplethreat for humanitarian efforts in the  —   and   via ,covid
494,2020-09-28 19:19:10,conflict,"#Armenia
Toxic “neutrality” of international community and western #media on the #conflict between #Armenia and #Azerbaijan fuels more irresponsibility and violence. While you draft your statements more civilians are targeted and killed in #Artsakh. Time to act  #NagornoKarabakh",,,,NikolyanMilena,,55,39,0,Armenia media conflict Armenia Azerbaijan Artsakh NagornoKarabakh,armenia media conflict armenia azerbaijan artsakh nagorno karabakh,Toxic “neutrality” of international community and western  on the  between  and  fuels more irresponsibility and violence. While you draft your statements more civilians are targeted and killed in . Time to act  ,Toxic “neutrality” of international community and western  on the  between  and  fuels more irresponsibility and violence While you draft your statements more civilians are targeted and killed in  Time to act  ,Azerbaijan_Armenia
496,2020-09-28 19:13:32,conflict,Toxic “neutrality” of international community and western #media on the #conflict between #Armenia and #Azerbaijan fuels more irresponsibility and violence. While you draft your statements more civilians are targeted and killed in #Artsakh. Time to act  #NagornoKarabakh,1.0,3.0,10.0,PapyanAni,"Yerevan, Armenia",804,345,0,media conflict Armenia Azerbaijan Artsakh NagornoKarabakh,media conflict armenia azerbaijan artsakh nagorno karabakh,Toxic “neutrality” of international community and western  on the  between  and  fuels more irresponsibility and violence. While you draft your statements more civilians are targeted and killed in . Time to act  ,Toxic “neutrality” of international community and western  on the  between  and  fuels more irresponsibility and violence While you draft your statements more civilians are targeted and killed in  Time to act  ,Azerbaijan_Armenia
497,2020-09-28 19:08:05,conflict,"#Armenia #Azerbaijan 
Who's fighting in Nagorno-Karabakh, ; why does it matter?
A new and dangerous eruption of a decades-old #conflict. #geopoliticalrisk #conflict #war #security",,,,The_Squirrel81,Barbados,659,58,0,Armenia Azerbaijan conflict geopoliticalrisk conflict war security,armenia azerbaijan conflict geopolitical risk conflict war security,"  Who's fighting in Nagorno-Karabakh, ; why does it matter?A new and dangerous eruption of a decades-old .    ",  Whos fighting in NagornoKarabakh  why does it matterA new and dangerous eruption of a decadesold     ,Azerbaijan_Armenia
499,2020-09-28 18:41:35,conflict,Armenia and Azerbaijan fight over disputed Nagorno-Karabakh - BBC News #conflict #armenia,,1.0,,rubicoassociate,UK & Internationally,232,13,0,conflict armenia,conflict armenia,Armenia and Azerbaijan fight over disputed Nagorno-Karabakh - BBC News  ,Armenia and Azerbaijan fight over disputed NagornoKarabakh  BBC News  ,Azerbaijan_Armenia
502,2020-09-28 18:26:37,conflict,"3.Although majority ofis share #Iranian version of #shia #Islam, #Iran is actively supporting,sending #military equipments; #arms.On the other hand, for example, has good relations with  (#Jewish country)  (#Christian country) has supported #Azerbaijan in this #conflict",,1.0,7.0,elman_murad,Aserbaidschan,566,"3,468",0,Iranian shia Islam Iran military arms Jewish Christian Azerbaijan conflict,iranian shia islam iran military arms jewish christian azerbaijan conflict,".Although majority ofis share  version of  ,  is actively supporting,sending  equipments; .On the other hand, for example, has good relations with  ( country)  ( country) has supported  in this ",Although majority ofis share  version of    is actively supportingsending  equipments On the other hand for example has good relations with   country   country has supported  in this ,Azerbaijan_Armenia
505,2020-09-28 17:03:13,conflict,"“You can fool all the people some of the time and some of the people all the time, but you cannot fool all the people all the time.” #Armenia #ArmenianManipulation #Karabakh #NKPeace #Azerbaijan #Truth #Caucasus #Conflict #TWICEASTALL #SeninleyizAzerbaycan #Qarabağ",,4.0,14.0,NEVZAThayal,G.hane/Trabzon/İstanbul/Fransa,"3,723","1,336",0,Armenia ArmenianManipulation Karabakh NKPeace Azerbaijan Truth Caucasus Conflict TWICEASTALL SeninleyizAzerbaycan Qarabağ,armenia armenian manipulation karabakh nk peace azerbaijan truth caucasus conflict twice as tall sen in ley iz azerbaycan q arab a,"“You can fool all the people some of the time and some of the people all the time, but you cannot fool all the people all the time.”           ",“You can fool all the people some of the time and some of the people all the time but you cannot fool all the people all the time”           ,Azerbaijan_Armenia
507,2020-09-28 16:55:23,conflict,25-year #conflict over disputed region of Nagorno-Karabakh saw a dramatic escalation but didn’t make many headlines. How the international community is reacting to this when more than 100 States agreed to #UNSG appeal for global ceasefire during #COVID19? Silence the guns!,,2.0,4.0,LianaGhukasyan,,677,701,0,conflict UNSG COVID19,conflict unsgcovid19,-year  over disputed region of Nagorno-Karabakh saw a dramatic escalation but didn’t make many headlines. How the international community is reacting to this when more than  States agreed to  appeal for global ceasefire during ? Silence the guns!,year  over disputed region of NagornoKarabakh saw a dramatic escalation but didn’t make many headlines How the international community is reacting to this when more than  States agreed to  appeal for global ceasefire during  Silence the guns,covid
508,2020-09-28 16:22:29,conflict,Også voldsomme (faktisk voldsommere) kampe i dag med mange døde og sårede: https://twitter.com/VALERIEin140/status/1310613832771997696?s=20… #NagornoKarabagh #Armenia #Azerbeycan #conflict #eudk #eupol #dkpol,,2.0,1.0,BEsbensen,Kontakt: esbensenb@gmail.com,"1,718","3,920",0,NagornoKarabagh Armenia Azerbeycan conflict eudk eupol dkpol,nagorno karabagh armenia a zerbe y can conflict eudkeupoldkpol,Også voldsomme (faktisk voldsommere) kampe i dag med mange døde og sårede: …       ,Også voldsomme faktisk voldsommere kampe i dag med mange døde og sårede …       ,Azerbaijan_Armenia
509,2020-09-28 16:19:50,conflict,"Armenia's PM Nikol Pashinyan:
""I came here to say what I am ready for. I'm ready to die for my country..."" #KarabakhisArmenia #ArtsakhStrong #Azerbaijaniaggression #Armenia #Conflict #War",,,2.0,tigran_kha,,43,21,0,KarabakhisArmenia ArtsakhStrong Azerbaijaniaggression Armenia Conflict War,karabakh is armenia artsakh strong azerbaijani aggression armenia conflict war,"Armenia's PM Nikol Pashinyan:""I came here to say what I am ready for. I'm ready to die for my country...""      ",Armenias PM Nikol PashinyanI came here to say what I am ready for Im ready to die for my country      ,Azerbaijan_Armenia
511,2020-09-28 16:06:42,conflict,"Get #EssydoMagazine's latest article now!

Azerbaycan and Armenia: The Eternal Conflict

#Essydo #Azerbaycan #Armenia #conflict #InternationalSecurity http://essydo.com/2020/09/28/azerbaycan-and-armenia-the-eternal-conflict/…",,,,essydoworld,,43,6,0,EssydoMagazine Essydo Azerbaycan Armenia conflict InternationalSecurity,essy do magazine essy do azerbaycan armenia conflict international security,Get 's latest article now!Azerbaycan and Armenia: The Eternal Conflict     …,Get s latest article nowAzerbaycan and Armenia The Eternal Conflict     …,Azerbaijan_Armenia
516,2020-09-28 15:45:26,conflict,"#Iran called on Sunday for an immediate end to the #conflict between #Armenia and #Azerbaijan after clashes between the two countries, a foreign ministry spokesman was quoted as saying by state TV.
--",,1.0,,millichronicle,,0,703,0,Iran conflict Armenia Azerbaijan,iran conflict armenia azerbaijan," called on Sunday for an immediate end to the  between  and  after clashes between the two countries, a foreign ministry spokesman was quoted as saying by state TV.--", called on Sunday for an immediate end to the  between  and  after clashes between the two countries a foreign ministry spokesman was quoted as saying by state TV,Azerbaijan_Armenia
517,2020-09-28 15:38:15,conflict,"Energy markets shrug off Azerbaijan-Armenia conflict, for now. http://ow.ly/IIPW50BDgFQ

#Azerbaijan #Armenia #war #conflict #Nagorno #Karabakh #oilandgasnews",,1.0,4.0,WorldOil,Houston,641,129.8K,0,Azerbaijan Armenia war conflict Nagorno Karabakh oilandgasnews,azerbaijan armenia war conflict nagorno karabakh oil and gas news,"Energy markets shrug off Azerbaijan-Armenia conflict, for now.       ",Energy markets shrug off AzerbaijanArmenia conflict for now       ,Azerbaijan_Armenia
519,2020-09-28 15:31:46,conflict,"“You can fool all the people some of the time and some of the people all the time, but you cannot fool all the people all the time.” #Armenia #ArmenianManipulation #Karabakh #NKPeace #Azerbaijan #Truth #Caucasus #Conflict #TWICEASTALL",,5.0,7.0,bdulhamidToprak,,"4,589","1,423",0,Armenia ArmenianManipulation Karabakh NKPeace Azerbaijan Truth Caucasus Conflict TWICEASTALL,armenia armenian manipulation karabakh nk peace azerbaijan truth caucasus conflict twice as tall,"“You can fool all the people some of the time and some of the people all the time, but you cannot fool all the people all the time.”         ",“You can fool all the people some of the time and some of the people all the time but you cannot fool all the people all the time”         ,Azerbaijan_Armenia
520,2020-09-28 15:28:31,conflict,"Get your daily dose of news!
#Armenia #Azerbaijan #NagornoKarabakh #Conflict #War #BreonnaTaylor #Protests #AtticaScott #Louisville #Kentucky #WhiteSupremacist #PoliceShootout #Ukraine #PlaneCrash #COVID19 #coronavirus #antimaskers",,,6.0,bitividi,"New York, USA",70,281,0,Armenia Azerbaijan NagornoKarabakh Conflict War BreonnaTaylor Protests AtticaScott Louisville Kentucky WhiteSupremacist PoliceShootout Ukraine PlaneCrash COVID19 coronavirus antimaskers,armenia azerbaijan nagorno karabakh conflict war breon na taylor protests attica scott louisville kentucky white supremacist police shootout ukraine plane crash covid19 coronavirus anti maskers,Get your daily dose of news!                ,Get your daily dose of news                ,Azerbaijan_Armenia
521,2020-09-28 15:20:21,conflict,"آذربائیجان اور آرمینیا کے درمیان جھڑپیں مزید شدت اختیار کر گئیں
تفصیل پڑھیں: https://humnews.pk/latest/278623/
۔۔۔
#HUMNews #Armenia #AzarBhaiJan #Pakistan #Conflict",,,1.0,humnewspakistan,"Islamabad, Pakistan",3,28.8K,1,HUMNews Armenia AzarBhaiJan Pakistan Conflict,hum news armenia azar bhai jan pakistan conflict,آذربائیجان اور آرمینیا کے درمیان جھڑپیں مزید شدت اختیار کر گئیںتفصیل پڑھیں: ۔۔۔    ,آذربائیجان اور آرمینیا کے درمیان جھڑپیں مزید شدت اختیار کر گئیںتفصیل پڑھیں ۔۔۔    ,Azerbaijan_Armenia
523,2020-09-28 15:13:50,conflict,"Azerbaijan and Armenia are now at war. Russia, NATO and the EU called for ceasefire at the disputed Nagorno-Karabakh territory. #Azerbaijan #video #Armenia #war #Russia #NATO #EU #violence #military #conflict #VIKEZ #drones #tanks #attack",,,4.0,Vikezmedia,"San Jose, CA","5,854","5,321",0,Azerbaijan video Armenia war Russia NATO EU violence military conflict VIKEZ drones tanks attack,azerbaijan video armenia war russia nato eu violence military conflict vike z drones tanks attack,"Azerbaijan and Armenia are now at war. Russia, NATO and the EU called for ceasefire at the disputed Nagorno-Karabakh territory.              ",Azerbaijan and Armenia are now at war Russia NATO and the EU called for ceasefire at the disputed NagornoKarabakh territory              ,Azerbaijan_Armenia
524,2020-09-28 15:11:20,conflict,"Em Yerevan, 10.000 cidadãos voluntariaram para lutar pelo Karabakh (Artsakh) contra o Azerbaijão. #conflict #Guerra #Armenia",,1.0,1.0,News10282826,"São Paulo, Brasil",149,40,0,conflict Guerra Armenia,conflict guerra armenia,"Em Yerevan, . cidadãos voluntariaram para lutar pelo Karabakh (Artsakh) contra o Azerbaijão.   ",Em Yerevan  cidadãos voluntariaram para lutar pelo Karabakh Artsakh contra o Azerbaijão   ,Azerbaijan_Armenia
530,2020-09-28 14:51:00,conflict,#news #Defense #war #security #politics #geopolitics #Azerbaijan #Armenia #Turkey #Russia #NATO #weapons #conflict,,,,CarticulusMedia,"Ontario, Canada","5,227","5,174",0,news Defense war security politics geopolitics Azerbaijan Armenia Turkey Russia NATO weapons conflict,news defense war security politics geopolitics azerbaijan armenia turkey russia nato weapons conflict,            ,            ,Azerbaijan_Armenia
532,2020-09-28 14:35:44,conflict,"#geopolitics:
-------
Armenian and Azeri forces exchanged fierce fire for a second day over the territory of #NagornoKarabakh. The clashes between #Armenia and #Azerbaijan...
-------
#conflict #conflictnews #Southcaucasus #Turkey #clasher #territorydispute",,,,globalgeopolit1,,243,333,0,geopolitics NagornoKarabakh Armenia Azerbaijan conflict conflictnews Southcaucasus Turkey clasher territorydispute,geopolitics nagorno karabakh armenia azerbaijan conflict conflict news south caucasus turkey clas her territory dispute,:-------Armenian and Azeri forces exchanged fierce fire for a second day over the territory of . The clashes between  and ...-------     ,Armenian and Azeri forces exchanged fierce fire for a second day over the territory of  The clashes between  and      ,Azerbaijan_Armenia
536,2020-09-28 14:10:52,conflict,Energy markets on edge over Armenia-Azerbaijan conflict#commodities_amp_futures#armeniaazerbaijan #conflict #edge #energy #markets,,,,biedexmarkets,"London, England","4,900","3,926",0,commodities_amp_futures armeniaazerbaijan conflict edge energy markets,commodities amp futures armenia azerbaijan conflict edge energy markets,Energy markets on edge over Armenia-Azerbaijan conflict    ,Energy markets on edge over ArmeniaAzerbaijan conflict    ,Azerbaijan_Armenia
541,2020-09-28 13:58:32,conflict,"Jupiter: Tensions in Mediterranean - Crisis caused by disco... https://jupiter235.blogspot.com/2020/09/tensions-in-mediterranean-crisis-caused.html?spref=tw… 
#mediterranean #greece #turkey #gasreserves #crisis #conflict #aegean #weapons #diplomacy #ΕΛΛΑΔΑ",,,1.0,JoyfulG97825916,"Thessaloniki, Greece",506,62,0,mediterranean greece turkey gasreserves crisis conflict aegean weapons diplomacy ΕΛΛΑΔΑ,mediterranean greece turkey gas reserves crisis conflict aegean weapons diplomacy,Jupiter: Tensions in Mediterranean - Crisis caused by disco... …          ,Jupiter Tensions in Mediterranean  Crisis caused by disco …          ,Turkey
542,2020-09-28 13:46:44,conflict,"Οσα διαβάζουμε για τις πρώτες στιγμές τις σύρραξης  στην #Αρμενια είναι σχετικά ανακρίβειες και #προπαγάνδα.
#conflict #Armenia #ArtsakhStrong",,,,Legewnis,"Greece, Athens, Vyronas","1,216",505,0,Αρμενια προπαγάνδα conflict Armenia ArtsakhStrong,conflict armenia artsakh strong,Οσα διαβάζουμε για τις πρώτες στιγμές τις σύρραξης  στην  είναι σχετικά ανακρίβειες και .  ,Οσα διαβάζουμε για τις πρώτες στιγμές τις σύρραξης  στην  είναι σχετικά ανακρίβειες και   ,Azerbaijan_Armenia
544,2020-09-28 13:32:52,conflict,How far can the #conflict in #Karabakh go? https://news.cgtn.com/news/2020-09-28/How-far-can-the-conflict-in-Karabakh-go--U9IJ3fZHe8/index.html?fbclid=IwAR1gG529UCV68OmR-U1ow_gW8f1eBi7AxGseGL0lUeTJB8tgEZ1KK4FcoGM… @cgtnofficial #Karabakh #Azerbaijan #NKPeace #WeWillWin #KarabakhisAzerbaijan,,,1.0,ElvinJt,,"1,444","1,038",0,conflict Karabakh Karabakh Azerbaijan NKPeace WeWillWin KarabakhisAzerbaijan,conflict karabakh karabakh azerbaijan nk peace we will win karabakh is azerbaijan,How far can the  in  go? …      ,How far can the  in  go …      ,Azerbaijan_Armenia
545,2020-09-28 13:15:06,conflict,"The latest on the situation: Heavy Fighting as Azerbaijan Attacks Territory Disputed With Armenia
 https://overtdefense.com/2020/09/28/heavy-fighting-as-azerbaijan-attacks-territory-disputed-with-armenia/…

#Azerbaijan #Armenia #NagornyKarabakh #conflict #borderclash",,1.0,1.0,OvertDefense,,43,431,0,Azerbaijan Armenia NagornyKarabakh conflict borderclash,azerbaijan armenia nagorny karabakh conflict border clash,The latest on the situation: Heavy Fighting as Azerbaijan Attacks Territory Disputed With Armenia …    ,The latest on the situation Heavy Fighting as Azerbaijan Attacks Territory Disputed With Armenia …    ,Azerbaijan_Armenia
547,2020-09-28 13:09:12,conflict,and the increasing shelling of civilians living on the front line only transferred #conflict from partially frozen to unfrozen.The last straw in the cup of patience of official #Baku was the shelling of civilians in #Azerbaijan in the front-line zone this morning on 27.09.2020,,,,cuneydhassanly,United States,285,234,0,conflict Baku Azerbaijan,conflict baku azerbaijan,and the increasing shelling of civilians living on the front line only transferred  from partially frozen to unfrozen.The last straw in the cup of patience of official  was the shelling of civilians in  in the front-line zone this morning on ..,and the increasing shelling of civilians living on the front line only transferred  from partially frozen to unfrozenThe last straw in the cup of patience of official  was the shelling of civilians in  in the frontline zone this morning on ,Azerbaijan_Armenia
558,2020-09-28 12:22:19,conflict,"İşte böyle sefilce rezil olunur!

""Tüm insanları bazen, bazılarını da her zaman kandırabilirsiniz, ancak tüm insanları her zaman kandıramazsınız."" !!!
#Armenia #ArmenianManipulation #Karabakh #NKPeace #Azerbaijan #Truth #Caucasus #Conflict #TWICEASTALL",1.0,1.0,4.0,emtevbrane,Ağrı,"3,958","4,081",0,Armenia ArmenianManipulation Karabakh NKPeace Azerbaijan Truth Caucasus Conflict TWICEASTALL,armenia armenian manipulation karabakh nk peace azerbaijan truth caucasus conflict twice as tall,"İşte böyle sefilce rezil olunur!""Tüm insanları bazen, bazılarını da her zaman kandırabilirsiniz, ancak tüm insanları her zaman kandıramazsınız."" !!!        ",İşte böyle sefilce rezil olunurTüm insanları bazen bazılarını da her zaman kandırabilirsiniz ancak tüm insanları her zaman kandıramazsınız         ,Azerbaijan_Armenia
560,2020-09-28 12:20:55,conflict,"#US #Russia #Iran and the international community have been calling for an end and the start of talks http://aje.io/n3xyz

#News #Armenia #Azerbaijan #War #Conflict",,,1.0,itschristuratto,,113,20,0,US Russia Iran News Armenia Azerbaijan War Conflict,us russia iran news armenia azerbaijan war conflict,   and the international community have been calling for an end and the start of talks     ,   and the international community have been calling for an end and the start of talks     ,Azerbaijan_Armenia
561,2020-09-28 12:18:35,conflict,"“You can fool all the people some of the time and some of the people all the time, but you cannot fool all the people all the time.” #Armenia #ArmenianManipulation #Karabakh #NKPeace #Azerbaijan #Truth #Caucasus #Conflict #TWICEASTALL",,,2.0,Gamzezgi3,"İstanbul, Türkiye",898,703,0,Armenia ArmenianManipulation Karabakh NKPeace Azerbaijan Truth Caucasus Conflict TWICEASTALL,armenia armenian manipulation karabakh nk peace azerbaijan truth caucasus conflict twice as tall,"“You can fool all the people some of the time and some of the people all the time, but you cannot fool all the people all the time.”         ",“You can fool all the people some of the time and some of the people all the time but you cannot fool all the people all the time”         ,Azerbaijan_Armenia
